OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
threads,master,34609,2473678,42871739,663
threads,close,7074,2474136,12344190,661
threads,spread,6491,2474076,12333891,660
x,x,381728,146930399,704180621,32029
sockets,master,7416,2473690,31294710,660
sockets,close,8468,2473946,42587975,660
sockets,spread,8093,2473872,42869354,660
cores,master,28707,2473684,42751695,661
cores,close,5599,2473834,43377825,660
cores,spread,6936,2473962,43258158,661
threads,master,36371,2473678,42748224,663
threads,close,6315,2474136,12715663,660
threads,spread,8021,2474073,12620955,660
x,x,329014,146930399,704161712,32029
sockets,master,10139,2473877,37479698,660
sockets,close,9151,2473943,42971542,660
sockets,spread,10814,2473872,42916239,660
cores,master,34833,2473684,42671210,662
cores,close,5994,2473834,43284372,660
cores,spread,6678,2473962,43239108,660
threads,master,40206,2473684,42701676,663
threads,close,6714,2474029,12680306,660
threads,spread,7967,2474073,12578669,660
x,x,461852,146930399,704180511,32030
sockets,master,5844,2473678,28149790,662
sockets,close,11701,2473943,42911632,660
sockets,spread,7815,2473872,42854094,661
cores,master,34586,2473883,42256180,660
cores,close,5736,2474033,43299627,660
cores,spread,6166,2473962,43138455,660
threads,master,33616,2473684,42518146,663
threads,close,5679,2474133,12079015,661
threads,spread,6673,2474082,12268220,660
x,x,279486,146930399,704179793,32029
sockets,master,7004,2473892,28620763,663
sockets,close,8486,2473943,42848045,660
sockets,spread,7111,2474071,42898231,661
cores,master,35281,2473681,42824256,665
cores,close,6826,2473834,43291411,660
cores,spread,7982,2473962,43210838,660
threads,master,32467,2473684,42784684,663
threads,close,6934,2474142,12692707,660
threads,spread,6618,2474073,12176332,660
x,x,378467,146930399,704185835,32029
sockets,master,8318,2473883,28408981,660
sockets,close,9650,2473744,43054578,660
sockets,spread,8336,2473872,42593618,660
cores,master,39273,2473687,42357314,664
cores,close,6758,2473834,43249154,660
cores,spread,6128,2474161,43299981,660
threads,master,25116,2473681,42763581,663
threads,close,6969,2474133,12377800,660
threads,spread,6636,2474079,12248424,661
x,x,254676,146930399,704185718,32029
sockets,master,7444,2473880,28578881,662
sockets,close,11841,2473744,42681359,660
sockets,spread,11200,2474071,42590526,660
cores,master,36114,2473687,42529721,660
cores,close,6039,2473834,43240583,660
cores,spread,6611,2473962,42837689,660
threads,master,36235,2473684,42535489,663
threads,close,7367,2474133,13191649,660
threads,spread,6458,2474072,12069506,660
x,x,381927,146930399,704185822,32029
sockets,master,8161,2473681,28394602,660
sockets,close,8663,2473744,43307055,661
sockets,spread,10448,2473878,42763466,660
cores,master,38843,2473691,42155929,663
cores,close,7355,2474033,43343446,661
cores,spread,6209,2473962,43244334,660
threads,master,37660,2473684,42589750,663
threads,close,8460,2474133,12618233,660
threads,spread,5622,2474076,12571868,660
x,x,353888,146930399,704185681,32030
sockets,master,7163,2473886,28323759,660
sockets,close,8691,2473943,42208260,660
sockets,spread,8362,2473872,43315841,660
cores,master,34984,2473678,43358540,660
cores,close,6944,2473834,43355126,660
cores,spread,7805,2474161,43383385,660
threads,master,36501,2473685,42503126,663
threads,close,6479,2474133,12172032,660
threads,spread,6587,2474121,12619166,660
x,x,390101,146930399,704175007,32029
sockets,master,7614,2473877,28655469,662
sockets,close,11599,2473744,42855135,660
sockets,spread,9410,2473872,42992026,661
cores,master,34865,2473696,41210786,663
cores,close,8163,2474033,42789837,660
cores,spread,6002,2473962,43190237,661
threads,master,32827,2473681,42825044,663
threads,close,6838,2474136,12554288,660
threads,spread,6011,2474073,12329468,660
x,x,369822,146930399,704180052,32030
sockets,master,7026,2473892,28539257,662
sockets,close,9671,2473943,42982184,660
sockets,spread,8043,2473872,42780972,660
cores,master,36141,2473708,40344365,660
cores,close,6926,2473834,43228617,660
cores,spread,7986,2474161,42708435,660
threads,master,33825,2473681,42779616,663
threads,close,7593,2474133,13213774,660
threads,spread,7669,2474073,12936728,660
