OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
threads,master,475578,5137549,32841584,759
threads,close,485756,5137801,29431346,756
threads,spread,486029,5137741,29260306,756
x,x,30807078,327680862,1781788073,40000
sockets,master,485164,5137549,31140988,757
sockets,close,486335,5137615,32584727,756
sockets,spread,486400,5137743,32681080,755
cores,master,479449,5137549,32961550,757
cores,close,488334,5137705,32955955,755
cores,spread,485489,5137833,32880634,755
threads,master,474136,5137549,32483511,758
threads,close,485374,5137804,28528149,755
threads,spread,486828,5137741,29703379,755
x,x,30807337,327680862,1781781795,40000
sockets,master,487592,5137549,30936291,755
sockets,close,485067,5137615,32678242,755
sockets,spread,485908,5137743,32960140,755
cores,master,482469,5137549,32960509,759
cores,close,486138,5137705,32961146,755
cores,spread,485221,5137833,32894291,755
threads,master,472942,5137549,32845252,759
threads,close,486775,5137801,28852649,756
threads,spread,485774,5137741,29270876,755
x,x,30803997,327680862,1781781484,40000
sockets,master,485035,5137552,32660585,756
sockets,close,486723,5137615,32671215,755
sockets,spread,485897,5137743,32913883,755
cores,master,485407,5137549,32960513,758
cores,close,485658,5137705,32925620,755
cores,spread,484865,5137833,32961232,755
threads,master,473531,5137549,32832221,760
threads,close,484863,5137801,28836582,756
threads,spread,485145,5137741,29980317,755
x,x,30806524,327680862,1781774816,40001
sockets,master,486196,5137552,32660431,755
sockets,close,487213,5137615,32960825,755
sockets,spread,485679,5137743,32706390,755
cores,master,479708,5137549,32893407,758
cores,close,487222,5137705,32961170,755
cores,spread,486256,5137833,32960678,755
threads,master,474375,5137549,32835842,759
threads,close,485809,5137801,29177394,755
threads,spread,485950,5137741,28828693,755
x,x,30805291,327680862,1781781363,40000
sockets,master,488041,5137549,32960218,755
sockets,close,486438,5137615,32713093,755
sockets,spread,486484,5137743,32890115,756
cores,master,485045,5137549,32960284,760
cores,close,486303,5137705,32935179,755
cores,spread,486106,5137833,32900255,755
threads,master,471278,5137549,32856483,758
threads,close,486378,5137804,28792386,755
threads,spread,486574,5137741,28813370,755
x,x,30805949,327680862,1781774492,40000
sockets,master,485698,5137549,30665582,755
sockets,close,487686,5137615,32706666,755
sockets,spread,485303,5137743,32620474,755
cores,master,477033,5137549,32672266,755
cores,close,485778,5137705,32961130,755
cores,spread,485868,5137833,32686112,755
threads,master,476273,5137549,32814489,759
threads,close,485538,5137801,29687144,755
threads,spread,486279,5137741,29432195,755
x,x,30805407,327680862,1781781571,40001
sockets,master,485610,5137556,31029421,757
sockets,close,486577,5137615,32538909,755
sockets,spread,485475,5137743,32387027,755
cores,master,479471,5137549,32768441,755
cores,close,485679,5137705,32917800,755
cores,spread,485456,5137833,32774698,755
threads,master,470536,5137549,32798689,759
threads,close,485649,5137801,29524937,755
threads,spread,487133,5137741,28826620,756
x,x,30805784,327680862,1781774044,40000
sockets,master,480676,5137556,32313422,755
sockets,close,485348,5137615,32943386,755
sockets,spread,485445,5137743,32692726,755
cores,master,485214,5137549,32960295,755
cores,close,485318,5137705,32761832,755
cores,spread,486151,5137833,32860975,755
threads,master,474089,5137549,32842514,758
threads,close,485641,5137801,29174337,755
threads,spread,486347,5137744,28837561,755
x,x,30805553,327680862,1781775305,40000
sockets,master,484576,5137549,32489764,755
sockets,close,485745,5137615,32545000,755
sockets,spread,486615,5137743,32520513,755
cores,master,480321,5137549,32960277,756
cores,close,485467,5137705,32821411,755
cores,spread,485706,5137833,32783906,755
threads,master,475592,5137549,32821912,759
threads,close,486417,5137801,28862746,755
threads,spread,487211,5137741,32961242,755
x,x,30804961,327680862,1781775002,40000
sockets,master,487931,5137549,32959941,755
sockets,close,485365,5137615,32956441,755
sockets,spread,483764,5137743,32331025,755
cores,master,483754,5137549,32960929,757
cores,close,485273,5137705,32878119,755
cores,spread,486409,5137833,32844369,755
threads,master,477856,5137549,32859185,759
threads,close,486585,5137801,30552674,755
threads,spread,485848,5137741,29753269,755
x,x,30805097,327680862,1781774110,40000
sockets,master,486224,5137549,32960205,756
sockets,close,485564,5137615,32685207,755
sockets,spread,485449,5137743,32960812,755
cores,master,485800,5137549,32660353,759
cores,close,485682,5137705,32955316,755
cores,spread,484863,5137833,32875524,756
threads,master,476074,5137549,32809111,760
threads,close,488208,5137801,32643325,756
threads,spread,486121,5137741,28784053,755
