OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
sockets,spread,1938325,9618143,89537904,1995
cores,master,1936490,9617949,89919750,1998
cores,close,1937798,9618105,89920013,1995
cores,spread,1935616,9618233,89837705,1995
threads,master,1884911,9617949,89923254,1998
threads,close,1937446,9618201,86182254,1995
threads,spread,1941117,9618141,86485821,1995
x,x,123346462,614401226,5427253983,120000
sockets,master,1940371,9617949,89918668,1995
sockets,close,1937526,9618015,89864643,1995
sockets,spread,1935759,9618146,89517406,1995
cores,master,1940144,9617949,89917261,1997
cores,close,1936841,9618105,89879927,1995
cores,spread,1936789,9618233,89877087,1995
threads,master,1873832,9617949,89923691,1999
threads,close,1938540,9618201,86295688,1995
threads,spread,1934204,9618141,86157568,1995
x,x,123349074,614401226,5427281570,120000
sockets,master,1942475,9617952,87650232,2002
sockets,close,1941765,9618015,89732010,1995
sockets,spread,1939142,9618143,89457795,1995
cores,master,1934869,9617949,89920549,1999
cores,close,1938375,9618105,89917941,1996
cores,spread,1931631,9618233,89852452,1995
threads,master,1874260,9617949,89886732,1999
threads,close,1934222,9618201,86691613,1995
threads,spread,1938474,9618144,86164796,1995
x,x,123329348,614401226,5427137470,120001
sockets,master,1932522,9617949,89917830,1995
sockets,close,1934378,9618015,89554763,1995
sockets,spread,1939841,9618143,89648229,1995
cores,master,1935178,9617949,89421947,1996
cores,close,1938584,9618105,89840002,1996
cores,spread,1935098,9618233,89920227,1995
threads,master,1866733,9617949,89923472,1999
threads,close,1935957,9618201,87054438,1995
threads,spread,1939371,9618141,86065497,1995
x,x,123330083,614401226,5427214463,120001
sockets,master,1938226,9617949,89565543,1996
sockets,close,1938189,9618015,89869880,1995
sockets,spread,1937222,9618143,89915938,1995
cores,master,1934477,9617949,89440613,1996
cores,close,1939687,9618105,89914987,1995
cores,spread,1938577,9618233,89920373,1995
threads,master,1875660,9617949,89916782,2000
threads,close,1935415,9618207,86891972,1995
threads,spread,1939105,9618141,86205767,1996
x,x,123325695,614401226,5427263562,120000
sockets,master,1932005,9617949,89512167,1995
sockets,close,1935426,9618015,89716252,1996
sockets,spread,1937112,9618146,89613982,1995
cores,master,1911973,9617962,88723462,1996
cores,close,1938166,9618105,89911165,1995
cores,spread,1933772,9618233,89833982,1995
threads,master,1873685,9617949,89910470,1999
threads,close,1938275,9618201,86108560,1995
threads,spread,1940281,9618147,86085601,1995
x,x,123332559,614401226,5427253107,120000
sockets,master,1940056,9617949,87754971,1996
sockets,close,1935841,9618015,89547829,1995
sockets,spread,1939835,9618143,89471760,1996
cores,master,1936858,9617949,89281622,1998
cores,close,1938474,9618105,89879157,1995
cores,spread,1937796,9618233,89904791,1995
threads,master,1874155,9617949,89923579,1999
threads,close,1937604,9618201,86212367,1995
threads,spread,1939146,9618144,85926122,1995
x,x,123337858,614401226,5427262001,120000
sockets,master,1944664,9617949,89918493,1998
sockets,close,1940098,9618015,89540319,1995
sockets,spread,1937336,9618143,89481292,1995
cores,master,1926273,9617949,89917552,2005
cores,close,1937069,9618105,89919766,1995
cores,spread,1941530,9618233,89916983,1995
threads,master,1877531,9617949,89906316,1999
threads,close,1938444,9618201,86453599,1995
threads,spread,1942277,9618147,86376270,1995
x,x,123332012,614401226,5427241184,120000
sockets,master,1939112,9617949,89915842,2001
sockets,close,1939853,9618015,89919706,1995
sockets,spread,1936653,9618143,89541383,1995
cores,master,1937057,9617949,89873328,2008
cores,close,1938149,9618105,89848160,1996
