OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
sockets,spread,153862701,18310552989,33873886,97791,89248,147630,4257,1421
cores,master,2528149983,18744205014,32624589,153887,151464,152410,86,59
cores,close,140486871,18127797685,33010551,93175,73172,131748,14686,2665
cores,spread,139669494,17681778662,31449401,89363,78735,144666,16357,2383
threads,master,4480484146,16874668175,32707768,167669,168795,199502,388,58
threads,close,91503288,10059717195,33929349,60187,47097,417344,22528,3983
threads,spread,87053166,6311007939,29861493,101930,86718,166843,8555,1325
x,x,459579335,1480016727,32087402,160167,154142,396069,0,0
sockets,master,241036939,19664840219,34858401,145632,139237,289038,165,227
sockets,close,158062762,18559748654,32443330,90788,88431,223065,3841,1411
sockets,spread,165973709,18638166017,33680908,97766,88673,118800,3619,1462
cores,master,2479663402,18844634788,33141136,161012,157935,155413,17,67
cores,close,139672987,18802967277,33200700,93575,72205,122631,16096,2542
cores,spread,140471617,18497670309,33758063,89081,69745,128255,17144,2233
threads,master,4278358349,15787216502,32829334,168882,167463,200347,371,68
threads,close,86657169,6854505396,36949450,84770,57562,159793,12193,2768
threads,spread,71135226,6310739883,35521601,70325,54554,463799,17206,3255
x,x,457445789,1510162910,32635887,156872,152381,373519,402,0
sockets,master,154749749,12747398465,31582889,135164,114923,342548,127,346
sockets,close,128837196,18602071147,35116395,101466,89761,125343,4387,858
sockets,spread,147710244,17513594071,32040021,98824,85855,136830,4099,1264
cores,master,2350656372,15098232171,32627355,142694,139201,160455,373,105
cores,close,140157595,17790588633,31773159,89586,74304,171835,15214,2363
cores,spread,138995111,18347180733,33620932,93372,70659,133834,15295,2758
threads,master,4434927617,16709285619,32975002,173747,168630,198644,7,57
threads,close,89065254,6395693706,44034297,92555,66936,72406,12966,3010
threads,spread,194801994,16495934546,28853589,108621,79343,209937,15445,1488
x,x,459751665,1473880214,32363313,155818,149394,387294,383,0
sockets,master,150716843,12056601922,31634152,120964,122333,467027,894,6
sockets,close,146245150,18881674107,34084637,97584,87666,121179,3741,916
sockets,spread,161111323,17957693547,35513675,96614,85829,114402,3812,899
cores,master,2262547310,17138922760,33089489,138819,134621,173753,302,81
cores,close,139002782,17924847492,32578845,89995,73928,106027,15046,2398
cores,spread,136941845,18495074342,34436493,90626,69218,82949,15146,3394
threads,master,4346351156,16170588950,32786980,168129,164306,196344,3,21
threads,close,90828111,6434835051,31441168,102272,91095,209718,8300,1350
threads,spread,85359988,7557975800,46146679,112028,79692,34235,7833,2727
x,x,459436815,1475006021,32310683,162359,158504,393696,382,0
sockets,master,153369838,12667514308,30489115,126049,123139,418346,194,259
sockets,close,162217520,17783157664,33081220,89724,87361,186042,5293,1009
sockets,spread,161914389,17403054002,31754867,95468,86917,117690,3539,903
cores,master,2438855219,18330337555,32945440,157299,156714,152663,87,52
cores,close,139773033,18371577432,32397789,93822,74567,110039,14313,2676
cores,spread,138002285,17840261037,32206991,90286,72599,107099,13707,2579
threads,master,4482257896,16921776860,32459820,170071,167449,198725,82,77
threads,close,69995614,7815092641,18840614,60490,65274,454375,17580,1901
threads,spread,66567901,7149854886,26378168,69186,58704,423122,9575,2298
x,x,463894506,1509463133,32993009,160280,156096,304917,7,0
sockets,master,249542734,19590989827,33868176,147942,139725,277977,154,155
sockets,close,155018410,18868034394,32626888,93835,88161,171755,3385,1329
sockets,spread,155333052,19118117520,34365665,95100,83982,100469,3845,1228
cores,master,2552658647,18893810287,32607135,153386,153686,163175,1129,71
cores,close,141075360,18134278789,33662226,95472,73208,131645,15443,2748
cores,spread,124723243,15767070242,30889547,89568,72218,138436,12856,2121
threads,master,4439456763,16835658375,32518160,171395,171712,207243,10,41
threads,close,79029200,6636094867,29245481,76522,57317,222100,13208,2719
threads,spread,92665230,8440883380,39792541,87058,63458,155240,11775,2089
x,x,458489563,1471775240,32546208,156409,152514,367370,377,0
sockets,master,243427456,19652943721,32665726,149805,138411,300183,125,292
