OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
cores,close,606270774,97846838259,3283130,14531,3223,1226,7426,10330
cores,spread,604901689,98033134833,3306771,14283,3290,1209,8604,9211
threads,master,24960800042,93021776550,3015097,12991,9276,2439,3,374
threads,close,60486284,5518327605,3873166,13409,2266,1083,7584,18855
threads,spread,44807411,2638209443,1808333,12820,3060,1103,7768,8825
x,x,189263876,533553712,2473421,5088,1729,0,0,0
sockets,master,1201303377,99516635240,3275007,7233,3878,857,415,1062
sockets,close,624505374,98842180254,3553664,9052,2026,494,3955,2937
sockets,spread,641914010,99902672616,3588685,10921,1935,457,4550,4327
cores,master,13765800004,102313423324,3255569,11007,8001,2120,385,532
cores,close,607882368,98697206242,3396183,15626,3688,533,8355,9851
cores,spread,607212146,97729631162,3435227,16112,3936,466,8747,10271
threads,master,24899114214,93495495448,3084336,10049,6663,1134,105,474
threads,close,44329020,2971361052,1020175,20464,3790,734,3443,1350
threads,spread,46359826,2329439089,2091578,20840,3779,279,792,1908
x,x,183265381,463854956,2160187,4138,1002,52,433,0
sockets,master,1188502929,99028773872,3347048,7622,4314,1019,100,1076
sockets,close,620251658,97908133055,3394519,11010,2572,494,5900,3285
sockets,spread,623002583,98428770862,3685196,9698,2420,1085,3984,3063
cores,master,13835069791,102140264470,3265309,11486,7696,2386,452,486
cores,close,614616544,98252016181,3438568,15460,3714,1300,7121,10375
cores,spread,601920398,97805725283,3282677,13237,2682,588,7432,9571
threads,master,24957074825,93176290089,3054814,9776,6559,1485,267,383
threads,close,70843855,6904789498,4262741,17600,2394,541,6477,6526
threads,spread,262037648,19307427909,2744055,15870,2644,1289,8744,8804
x,x,189623399,539841595,2482161,5154,1592,61,3,0
sockets,master,1192701510,98759355551,3318423,3435,3707,1606,464,998
sockets,close,629501543,98509351482,3324847,6150,2197,761,5213,3244
sockets,spread,649902393,98168290767,3475406,12995,2288,693,5706,4177
cores,master,13716300837,101907188291,3267528,8586,5333,1920,348,427
