OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
sockets,spread,224892619,25091942916,137799561,1583865,1628276,1098379,12899,1417
cores,master,3266723426,24165231522,142757823,721239,711066,222277,263,54
cores,close,205990358,24087106250,137590118,1553337,1509240,1217259,74115,4315
cores,spread,202228616,24110305856,140620814,1535773,1474976,1171458,71914,4523
threads,master,5199055985,19422012735,140424067,287076,277657,232203,95,75
threads,close,168336160,14590963864,138793075,1930068,1827278,988741,59169,4143
threads,spread,129612742,12792477905,131981909,1445979,1430880,1049514,76578,4321
x,x,1436810029,4786694335,144948799,1145515,1015768,648936,10,0
sockets,master,321893005,25083071811,138840225,1529822,1536597,1075369,1158,419
sockets,close,210976207,24691645782,150741957,1639304,1526236,1039403,11587,1312
sockets,spread,220347218,24867850231,136777882,1540988,1564801,1092949,14499,1767
cores,master,3110311500,23044459444,141812651,734081,737801,236214,44,65
cores,close,199904424,25258183024,147553068,1614369,1475709,1100742,77900,5205
cores,spread,200999059,24708102492,139731449,1575125,1483257,1153607,72697,4692
threads,master,5296544090,19773969072,139830175,288978,287474,220114,340,58
threads,close,145433276,15161585913,153926292,1460227,1278037,1187145,86165,5198
threads,spread,156810637,13930874970,156802733,1850638,1615685,791199,58995,4096
x,x,1406237492,4792230773,142063388,1161853,1096855,750803,387,0
sockets,master,325550606,24577630693,142973766,1623859,1635309,1123586,1103,442
sockets,close,217667214,24299651862,146951901,1706052,1632361,923140,11058,1610
sockets,spread,194053312,23672734821,151057578,1667787,1543305,822050,11154,1517
cores,master,3274641795,24312030431,146556564,707517,690935,218826,336,52
cores,close,197099470,25122538154,143133907,1542469,1432407,1224450,82222,4859
cores,spread,206556865,23992265279,136874159,1511530,1484345,1130765,76998,4221
threads,master,5384308876,20005320844,139888358,276630,272425,210898,346,56
threads,close,151385849,12962265786,161843941,1928750,1635670,768133,55402,3722
threads,spread,250561430,23462519676,140256977,1602605,1572120,1455918,79471,4343
x,x,1421862872,4834048309,141996833,1159778,1095348,684572,3,0
sockets,master,317817943,24854333600,143540228,1602496,1541277,1047593,1258,238
sockets,close,221135137,23696093675,147915925,1749826,1627365,715958,12588,1520
sockets,spread,207127227,23982684857,156327080,1743327,1581544,800721,13337,1633
cores,master,3237803228,23975918009,145223418,714118,694910,233768,34,67
cores,close,196812077,24940679096,153300525,1739597,1530368,997167,70046,4517
cores,spread,202786646,24723704703,149032979,1697880,1544833,959272,66705,4866
threads,master,5273958474,19656665665,136527287,285641,284562,217004,6,115
threads,close,160333570,13669066156,133505000,1828851,1855331,893903,54614,3636
threads,spread,159953298,15458926309,160809708,1690949,1460658,980300,70567,4395
x,x,1415973897,4847012658,137555989,1102631,1136596,592667,10,0
sockets,master,328343392,25298669917,146350581,1585423,1524495,1001321,1189,433
sockets,close,217210855,25139078779,136363983,1535281,1564218,1074842,14712,1579
sockets,spread,223783279,24053557764,151870128,1694389,1538450,916754,11025,1613
cores,master,3238120102,23991606984,142755441,713735,701855,215892,121,66
